Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
130,High Point,Big South,,,25,8,84.2,74.2,10,,-5.08,,7.7,-5.46,2.24,113.31,109.76,3.55
131,Western Carolina,Southern,,,22,10,76.8,68.7,8.16,,-3.17,,0.48,1.66,2.14,106.72,103.47,3.25
132,Toledo,MAC,,,20,12,80,76.1,3.88,,-1.87,,6.45,-4.45,2,111.51,108.6,2.91
133,Liberty,CUSA,,,18,14,73.8,65.5,8.31,,-1.35,,-0.93,2.71,1.78,109.41,106.15,3.25
134,Oakland,Horizon,,,23,11,76.4,72.9,3.5,,-1.9,,1.3,0.3,1.6,107.65,105.44,2.21
135,Troy,Sun Belt,,,20,12,79.6,70.7,8.91,,-2.91,,3.1,-1.6,1.5,105.07,102.88,2.19
136,UNC Wilmington,CAA,,,21,10,79.4,71,8.35,,-2.66,,2.21,-0.77,1.44,110.99,108.26,2.73
137,Western Kentucky,CUSA,,,22,11,80.6,74.1,6.52,,-3.4,,6.1,-4.67,1.44,103.38,101.72,1.67
138,Drexel,CAA,,,20,12,73.3,66.6,6.75,,-3.4,,-2.65,4.02,1.37,105.57,102.86,2.72
139,Youngstown State,Horizon,,,22,10,81.2,70.9,10.28,,-4.86,,2.11,-0.91,1.21,105.27,103.78,1.49
140,Missouri State,MVC,,,17,16,71.2,71.3,-0.03,,1.15,,-0.37,1.49,1.12,103.26,101.9,1.36
141,Wyoming,MWC,,,15,17,72.8,74.5,-1.63,,5,,1.34,-0.37,0.97,107.28,105.84,1.44
142,Tarleton State,WAC,,,23,9,73.5,68.7,4.81,,-0.55,,-0.38,1.17,0.79,107.28,105.97,1.32
143,Ohio,MAC,,,20,13,77.3,70,7.33,,-4.33,,1.5,-0.77,0.73,107.39,106.17,1.22
144,South Dakota State,Summit,,,22,12,76.8,70.8,5.94,,-3.16,,1.37,-0.66,0.72,107.2,105.39,1.81
145,Morehead State,OVC,,,26,8,75.5,62.8,12.68,,-6.07,,-3.49,4.19,0.7,106.05,103.69,2.36
146,Georgetown,Big East,,,9,23,70.8,77.9,-7.03,,7.62,,2.6,-2.02,0.58,109.94,109.92,0.02
147,Murray State,MVC,,,12,20,69.8,69.9,-0.16,,1.78,,-2.3,2.85,0.56,107.23,106.46,0.76
148,Arkansas State,Sun Belt,,,18,16,78.7,77.1,1.59,,-1.07,,4.27,-3.75,0.52,111.18,109.91,1.28
149,Vanderbilt,SEC,,,9,23,67.9,75.9,-7.97,,8.43,,-2.31,2.77,0.46,104.69,104.48,0.22
150,Towson,CAA,,,20,14,67.5,63.6,3.88,,-2.06,,-7.38,7.78,0.4,101.61,100.78,0.83
151,Louisville,ACC,,,8,24,72,79.1,-7.06,,7.45,,2.84,-2.46,0.38,106.05,106.02,0.03
152,Furman,Southern,,,17,16,79.5,75.9,3.55,,-1.77,,4.16,-3.8,0.36,107.62,106.98,0.64
153,Hawaii,Big West,,,20,14,72.3,68.7,3.56,,-2.21,,-1.97,2.27,0.3,104.45,104.36,0.09
154,Loyola Marymount,WCC,,,12,19,72.4,71.4,0.97,,0.46,,-1.43,1.52,0.09,108.3,108.69,-0.39
155,Colgate,Patriot,,,25,9,71.5,63.2,8.26,,-6.08,,-3.97,4.04,0.07,102.71,102.28,0.42
156,Wright State,Horizon,,,18,14,86.5,81.2,5.25,,-3.39,,11.57,-11.56,0.01,114.48,115,-0.52
157,Weber State,Big Sky,,,20,12,75.4,67.5,7.91,,-3.67,,-0.99,0.98,-0.01,107.61,107.62,-0.01
158,Chattanooga,Southern,,,21,12,78.2,71.6,6.64,,-3.69,,1.83,-1.87,-0.04,108.32,108.11,0.21
159,UNC Greensboro,Southern,,,21,11,75.7,69.8,5.91,,-2.73,,-1.51,1.41,-0.1,107.03,107.04,-0.01
160,Sam Houston,CUSA,,,21,12,72.2,69.2,3,,-1.49,,-0.91,0.77,-0.14,103.48,103.23,0.26
161,Purdue Fort Wayne,Horizon,,,21,12,80.9,71.4,9.52,,-6.22,,2.08,-2.26,-0.18,103.43,104.01,-0.58
162,Fordham,A-10,,,13,20,70.5,72.4,-1.94,,1.66,,-0.83,0.55,-0.28,100.26,100.82,-0.57
163,East Carolina,AAC,,,15,18,69.3,70.3,-0.97,,1.61,,-3.22,2.89,-0.32,104.39,104.81,-0.43
164,Louisiana,Sun Belt,,,19,14,75.9,71.7,4.21,,-2.38,,-0.36,0.05,-0.32,104.22,104.31,-0.09
165,Montana,Big Sky,,,23,11,77.2,71.6,5.65,,-3.66,,1.25,-1.72,-0.47,109.66,110.2,-0.55
166,Kent State,MAC,,,17,17,74.8,71.3,3.53,,-2.29,,-0.05,-0.47,-0.51,105.79,106.13,-0.34
167,Eastern Washington,Big Sky,,,21,11,80.8,75.2,5.59,,-2.55,,5.82,-6.4,-0.58,109.95,110.47,-0.52
168,St. Thomas,Summit,,,20,13,72.8,64.8,7.94,,-5.42,,-5.32,4.7,-0.62,105.55,105.65,-0.1
169,Temple,AAC,,,16,19,70.9,72.5,-1.63,,1.87,,-1.79,1.1,-0.69,102.09,103.08,-1
170,George Washington,A-10,,,15,17,76.8,77.3,-0.47,,0.16,,5.14,-5.94,-0.8,105.75,107.2,-1.45
171,Tulsa,AAC,,,16,15,75,73.9,1.13,,-0.71,,1.26,-2.17,-0.91,102.34,103.23,-0.89
172,Stephen F. Austin,WAC,,,18,15,74.6,71.3,3.33,,-1.74,,-0.81,-0.12,-0.93,100.48,102.2,-1.71
173,UC Davis,Big West,,,20,13,71.2,68.1,3.18,,-2.45,,-3.2,2.27,-0.93,101.1,102.4,-1.3
174,Long Beach State,Big West,,,21,14,77.7,75.7,2.03,,-1.59,,4.33,-5.31,-0.98,105.18,106.65,-1.47
175,Massachusetts-Lowell,AEC,,,22,10,80,70.7,9.38,,-5.9,,1.8,-2.9,-1.11,103.38,105.12,-1.74
176,Illinois State,MVC,,,15,17,66.5,67.7,-1.16,,0.58,,-7.18,5.96,-1.22,101.4,103.47,-2.07
177,UTEP,CUSA,,,18,16,72.6,69.1,3.59,,-1.09,,-3.38,2.1,-1.28,97.63,99.28,-1.66
178,Utah Valley,WAC,,,16,16,68.7,68.6,0.13,,-0.04,,-4.77,3.43,-1.34,97.83,99.16,-1.33
179,Saint Louis,A-10,,,13,20,74.9,79.4,-4.45,,4.34,,4.87,-6.25,-1.38,110.15,111.97,-1.82
180,La Salle,A-10,,,16,17,72.7,73.1,-0.39,,1.06,,-0.15,-1.26,-1.41,104.56,106.21,-1.65
181,Illinois-Chicago,MVC,,,12,21,70.3,71.5,-1.27,,1.46,,-1.91,0.46,-1.45,99.41,101.43,-2.02
182,Longwood,Big South,,,21,13,75.6,67.9,7.62,,-5.57,,-2.35,0.88,-1.47,103.56,105.31,-1.75
183,Delaware,CAA,,,19,14,73.2,69.7,3.55,,-4.11,,-1.81,0.32,-1.48,102.67,104.42,-1.75
184,Lipscomb,A-Sun,,,20,12,82.1,76.5,5.56,,-4.71,,4.21,-5.82,-1.61,110.35,112.48,-2.13
185,UNC Asheville,Big South,,,22,12,78.9,73.1,5.79,,-2.74,,0.92,-2.6,-1.68,105.46,107.88,-2.42
186,Winthrop,Big South,,,17,15,77.3,71.5,5.88,,-3.23,,0.41,-2.19,-1.79,105.07,107.56,-2.49
187,Pepperdine,WCC,,,13,20,72.8,74,-1.21,,0.91,,0.16,-2.08,-1.93,106.03,108.95,-2.92
188,Rhode Island,A-10,,,12,20,72.6,76.3,-3.78,,3.07,,1.35,-3.41,-2.06,106.03,108.98,-2.95
189,California Baptist,WAC,,,16,17,67.3,66.6,0.76,,-2.31,,-6.39,4.02,-2.37,102.08,105.26,-3.18
190,Stony Brook,CAA,,,20,15,73.5,72.3,1.2,,-2.47,,0.31,-2.75,-2.44,104.06,107.16,-3.1
191,Fairfield,MAAC,,,22,12,75.8,70.6,5.15,,-6.62,,0.94,-3.68,-2.74,106.07,109.67,-3.6
192,Quinnipiac,MAAC,,,24,9,77.8,71.5,6.33,,-7.15,,2.12,-4.87,-2.75,103.46,107.08,-3.62
193,UC Santa Barbara,Big West,,,16,15,75.4,73.5,1.84,,-2.63,,-0.25,-2.55,-2.8,104.91,109,-4.08
